id,_ptype,_ltype,price,kabkoId,bedRooms,bathRooms,landSize,buildingSize,garages,sold
173227884378.0,apartment,sale,912097842.0,618.0,1.0,1.0,0.0,,0.0,no
127777463780.0,house,rent,30845821.0,,5.0,5.0,150.0,174.0,0.0,no
164220287458.0,apartment,sale,980648411.0,608.0,3.0,2.0,0.0,51.0,0.0,
98467676607.0,apartment,sale,240332726.0,618.0,,1.0,0.0,16.0,0.0,no
35033459969.0,,sale,1200991870.0,618.0,3.0,2.0,136.0,93.0,0.0,no
120383910275.0,house,sale,2160444316.0,608.0,3.0,3.0,96.0,108.0,0.0,no
12065097733408.0,house,,880479327.0,608.0,3.0,2.0,55.0,97.0,0.0,no
7053384303270.0,house,sale,710863266.0,608.0,3.0,2.0,42.0,42.0,0.0,no
155697007340.0,apartment,sale,7911828735.0,608.0,,4.0,0.0,212.0,,no
88860378493.0,apartment,sale,176134326.0,618.0,1.0,1.0,0.0,18.0,0.0,
19721027822.0,apartment,sale,1200591248.0,608.0,,1.0,0.0,31.0,0.0,no
55487058559.0,house,sale,2320777510.0,618.0,4.0,3.0,153.0,221.0,1.0,
87644186761.0,house,rent,36427847.0,618.0,3.0,2.0,61.0,71.0,0.0,no
8139043118560.0,house,sale,1680233810.0,618.0,3.0,3.0,90.0,75.0,0.0,no
,apartment,sale,1377546953.0,608.0,3.0,2.0,0.0,78.0,0.0,no
68210513202.0,house,sale,3600645178.0,618.0,3.0,3.0,236.0,255.0,1.0,yes
16132885088855.0,,sale,496269198.0,608.0,3.0,2.0,71.0,59.0,0.0,no
149651351972.0,house,sale,362077602.0,618.0,2.0,1.0,51.0,40.0,,no
93786981077.0,house,sale,720150780.0,618.0,2.0,1.0,56.0,38.0,0.0,no
145143856450.0,house,sale,540254996.0,,3.0,2.0,53.0,45.0,0.0,no
34609120033.0,house,sale,1040461217.0,618.0,4.0,2.0,112.0,97.0,1.0,no
128362938675.0,apartment,sale,280333503.0,618.0,1.0,1.0,0.0,20.0,,no
98184639410.0,house,sale,472582995.0,618.0,3.0,2.0,51.0,42.0,0.0,no
105598542982.0,house,sale,1120735524.0,618.0,2.0,1.0,126.0,52.0,0.0,no
